Gene	sgRNA	D7_R1|beta	D7_R1|z	D7_R1|p-value	D7_R1|fdr	D7_R1|wald-p-value	D7_R1|wald-fdr	D7_R2|beta	D7_R2|z	D7_R2|p-value	D7_R2|fdr	D7_R2|wald-p-value	D7_R2|wald-fdr	PLX7_R1|beta	PLX7_R1|z	PLX7_R1|p-value	PLX7_R1|fdr	PLX7_R1|wald-p-value	PLX7_R1|wald-fdr	PLX7_R2|beta	PLX7_R2|z	PLX7_R2|p-value	PLX7_R2|fdr	PLX7_R2|wald-p-value	PLX7_R2|wald-fdr
MMP15	4	0.68184	6.3978	0.00075779	0.33176	1.5765000000000002e-10	3.4992e-09	0.71286	6.731	0.00059705	0.23692	1.6855000000000003e-11	5.1871e-10	0.93696	9.2829	0.00029852	0.36	1.6491e-20	2.3939e-18	0.70024	6.316	0.00079224	0.4303	2.6845999999999997e-10	1.1546000000000001e-08
PLS3	4	-0.61498	-5.4878	0.068534	0.7186	4.0694e-08	6.0533e-07	-0.54542	-4.9697	0.086216	0.75354	6.7047e-07	8.5748e-06	-0.45941000000000004	-4.4993	0.11619000000000002	0.80872	6.8173e-06	7.6073e-05	-0.5108699999999999	-4.3023	0.082301	0.7601100000000001	1.6901e-05	0.00022118
NLRP14	4	-0.65651	-8.1215	0.05475599999999999	0.6927	4.6034e-16	2.179e-14	-0.56586	-7.0912	0.07621599999999999	0.7315699999999999	1.3291e-12	4.9258e-11	-0.48558999999999997	-6.3058	0.099259	0.80295	2.8662e-10	8.2935e-09	-0.54682	-6.5696	0.065423	0.73482	5.0466999999999995e-11	2.4151e-09
CRKL	4	-0.67757	-6.2361	0.04874	0.67413	4.4874000000000004e-10	9.2505e-09	-0.63244	-5.906000000000001	0.051655999999999994	0.66225	3.5051e-09	7.2179e-08	-0.96299	-8.9387	0.006521600000000001	0.49825	3.9391e-19	4.5743999999999993e-17	-0.8271700000000001	-6.7798	0.012825	0.52261	1.2037e-11	6.4915e-10
NDUFV3	5	0.22975	2.9237	0.037143	0.63494	0.0034585	0.013888	0.10659	1.3417	0.14352	0.8360299999999999	0.17968	0.32894	0.072672	0.94155	0.28495	0.91596	0.34642	0.5213300000000001	0.10925	1.3106	0.17051	0.8442200000000001	0.18999000000000002	0.36901999999999996
OSM	4	0.20438	2.324	0.050428	0.67935	0.020125	0.059601999999999995	0.032224	0.36043000000000003	0.32443	0.9171	0.71853	0.8257	0.063092	0.73097	0.31306	0.9265899999999999	0.4648	0.63346	-0.007766899999999999	-0.081979	0.55656	0.95855	0.93466	0.9674299999999999
BUD31	4	-1.1102	-10.046	0.0058786	0.40155	9.5659e-24	1.0545999999999998e-21	-0.9519799999999999	-8.9814	0.0095069	0.43613	2.6741e-19	2.306e-17	-1.1085	-10.774000000000001	0.0032493	0.4688	4.5787e-27	1.4769999999999999e-24	-1.0658	-8.9293	0.0040301	0.48081999999999997	4.2864e-19	8.204899999999999e-17
YARS2	4	-0.8852	-8.7798	0.016338	0.50961	1.6374e-18	1.0485999999999999e-16	-0.7763	-7.9232	0.023675	0.5760000000000001	2.3139e-15	1.2068e-13	-0.21088	-2.4616	0.55481	0.97403	0.013831	0.047029	-0.16752999999999998	-1.7866	0.70724	0.9814299999999999	0.074004	0.19217
RPA3	4	-0.7157100000000001	-7.1366	0.040152	0.64995	9.5696e-13	3.0308e-11	-0.71486	-7.1665	0.032861	0.61233	7.695300000000001e-13	2.9396e-11	-0.66722	-7.1005	0.032458999999999995	0.67479	1.2427e-12	5.5082e-11	-0.7407100000000001	-6.8212	0.02069	0.5908800000000001	9.0304e-12	5.0096e-10
GPN3	6	-0.83605	-11.905	0.021322	0.55929	1.1087e-32	2.5081e-30	-0.98155	-13.745999999999999	0.0082209	0.42017	5.3934999999999996e-43	3.914599999999999e-40	-0.6812199999999999	-10.255	0.02968	0.66197	1.1258999999999998e-24	2.5805e-22	-0.72952	-10.024	0.02224	0.59577	1.1934000000000001e-23	3.4079e-21
XRN1	4	-1.2274	-12.561	0.0038004	0.38364000000000004	3.4521999999999994e-36	1.0022e-33	-1.2603	-12.884	0.002526	0.34094	5.5357e-38	2.8361000000000003e-35	-1.0282	-11.474	0.0047305	0.48066000000000003	1.7855e-30	7.974999999999998e-28	-0.9460700000000001	-9.5548	0.0069578999999999995	0.49237	1.2385e-21	2.9962999999999997e-19
NSMCE1	4	-0.80328	-8.0514	0.025283	0.58386	8.188100000000001e-16	3.6385e-14	-0.5743199999999999	-6.0264	0.072266	0.7235699999999999	1.6769e-09	3.6861999999999996e-08	-0.33666999999999997	-3.8156	0.25573	0.90375	0.00013587	0.0010079000000000002	-0.5274800000000001	-5.212000000000001	0.07422899999999999	0.74634	1.8680999999999996e-07	4.2537000000000005e-06
GALM	6	0.20138	2.5908	0.05246	0.6851	0.009576000000000001	0.032297	0.37515	4.959	0.005982	0.39778	7.0843e-07	8.9812e-06	0.08732899999999999	1.1562	0.24584	0.89755	0.24761	0.414	0.12015	1.4391	0.14966	0.8295899999999999	0.15012999999999999	0.31548000000000004
FERMT3	4	0.29631	3.594	0.016143	0.50961	0.00032563	0.0018537	0.25440999999999997	3.0816	0.022539	0.5687399999999999	0.0020588	0.0094773	0.13555999999999999	1.6682	0.14498	0.8338	0.09527200000000001	0.20751999999999998	0.25869000000000003	3.0138	0.02805	0.63672	0.0025796	0.014347
LSM7	4	-0.71972	-7.1529	0.039313	0.64361	8.497799999999999e-13	2.7236999999999998e-11	-0.69584	-6.9814	0.036454	0.61829	2.923e-12	1.0328e-10	-0.32298000000000004	-3.5806	0.27965999999999996	0.91205	0.0003428	0.0022566999999999995	-0.25254	-2.5642	0.42462	0.9378	0.010341	0.043887999999999996
ALG3	4	-0.6298	-8.8203	0.063276	0.71205	1.1412e-18	7.4454e-17	-0.63608	-8.9158	0.050738	0.65545	4.8445e-19	4.0765999999999994e-17	-0.6349100000000001	-8.9931	0.039623	0.69408	2.4045000000000004e-19	2.8886e-17	-0.6644399999999999	-9.1368	0.032378	0.64761	6.4339e-20	1.3342e-17
CDT1	4	-0.6917800000000001	-5.9661	0.045491000000000004	0.6637	2.4294000000000003e-09	4.4828e-08	-0.80171	-6.8456	0.02077	0.56006	7.6132e-12	2.4604e-10	-0.80665	-7.1206	0.014777	0.57681	1.0743e-12	4.8228000000000007e-11	-0.84857	-6.8232	0.011493000000000001	0.51782	8.9019e-12	4.9699e-10
RPA2	4	-0.6926100000000001	-7.2045	0.045307	0.6637	5.825899999999999e-13	1.9184e-11	-0.54498	-5.8241	0.086492	0.75354	5.7423e-09	1.1187999999999999e-07	-0.38145999999999997	-4.3180000000000005	0.19189	0.8662299999999999	1.5745e-05	0.00015681	-0.40231999999999996	-4.1441	0.16297999999999999	0.8347899999999999	3.4115e-05	0.00040343
PHB2	4	-0.6579999999999999	-7.6953	0.054194000000000006	0.6905600000000001	1.4112e-14	5.6509e-13	-0.6018399999999999	-7.1082	0.062541	0.6949	1.1758e-12	4.404600000000001e-11	-0.64999	-7.8854	0.036099	0.68998	3.1365e-15	2.1176e-13	-0.59153	-6.6658	0.049325	0.70926	2.6330999999999997e-11	1.318e-09
ANAPC4	4	-0.61785	-5.9144	0.067432	0.7169	3.3312e-09	5.9683e-08	-0.4498	-4.489	0.15322	0.8456	7.1561e-06	6.9755e-05	-0.43611000000000005	-4.6126	0.13510999999999998	0.82344	3.9766e-06	4.7336e-05	-0.57252	-5.0921	0.055411	0.71127	3.5419e-07	7.5424e-06
ILK	4	-0.68325	-6.3427	0.047201	0.66824	2.2571999999999997e-10	4.884199999999999e-09	-0.5314399999999999	-5.0454	0.093553	0.76723	4.5266000000000003e-07	6.0236e-06	-0.50735	-4.9812	0.086262	0.78732	6.32e-07	9.2278e-06	-0.47821	-4.3503	0.10098	0.78537	1.3597e-05	0.00018417
POLR3H	4	-1.5339	-17.269000000000002	0.0013434	0.33176	8.084999999999999e-67	1.2802999999999996e-63	-1.4680000000000002	-16.74	0.0011482	0.28056	6.694699999999999e-63	9.717899999999998e-60	-0.9040600000000001	-11.251	0.0088639	0.52189	2.2799e-29	9.235700000000002e-27	-0.9534	-11.065	0.0066824	0.49038000000000004	1.8462999999999998e-28	8.9336e-26
PSG8	5	-0.62249	-7.0346	0.065813	0.71205	1.9977e-12	5.9383e-11	-0.52155	-6.0001	0.099122	0.77896	1.9723e-09	4.2783e-08	-0.37766	-4.5955	0.19602999999999998	0.8662299999999999	4.317900000000001e-06	5.082e-05	-0.54535	-5.9211	0.066112	0.73495	3.1976e-09	1.1007999999999999e-07
WNT6	5	0.41046000000000005	5.6171	0.004719	0.38364000000000004	1.9418e-08	3.0499000000000003e-07	0.3278	4.4691	0.009862799999999998	0.43858	7.8552e-06	7.5764e-05	0.35379	4.9201	0.013606	0.56295	8.651399999999999e-07	1.2262e-05	0.41762	5.5674	0.0053849	0.48318	2.5861e-08	7.219199999999999e-07
PLXNA1	6	0.27741	4.0161	0.020621	0.5554899999999999	5.9177e-05	0.00042509	0.13702999999999999	1.9683	0.099604	0.77896	0.049036	0.12365	0.14185999999999999	2.0781	0.13552	0.8240799999999999	0.037697	0.10257999999999999	0.12697999999999998	1.7646	0.13824	0.8226899999999999	0.077628	0.19883
SHBG	4	-0.80905	-9.1636	0.024617	0.58367	5.0213e-20	3.8362e-18	-0.8368	-9.4777	0.017337	0.53196	2.6005e-21	2.7453000000000005e-19	-0.69182	-7.933	0.027877999999999997	0.6603899999999999	2.1387e-15	1.4842000000000001e-13	-0.69528	-7.8059	0.027281	0.63578	5.9093e-15	6.200899999999999e-13
UBE2J2	5	-0.67097	-8.3084	0.050508	0.67991	9.6975e-17	4.9105e-15	-0.59297	-7.4245	0.065423	0.70302	1.1320999999999999e-13	4.6728e-12	-0.6967399999999999	-8.8887	0.027131	0.6603899999999999	6.180300000000001e-19	6.857e-17	-0.70193	-8.2921	0.026213	0.62916	1.1124e-16	1.5502e-14
PPM1L	4	0.22941999999999999	2.5463	0.037247	0.63546	0.010887	0.036052	-0.051016000000000006	-0.54681	0.66047	0.9799399999999999	0.5845100000000001	0.72902	0.14745	1.6833	0.12732000000000002	0.81585	0.092312	0.20307999999999998	-0.097416	-0.97077	0.98331	0.99979	0.33166	0.53085
ALG11	4	-0.8209200000000001	-7.1375	0.023193000000000002	0.56821	9.502700000000002e-13	3.0151e-11	-0.59186	-5.4325	0.065802	0.7038300000000001	5.5555000000000003e-08	8.878200000000001e-07	-0.67787	-6.4757	0.030345999999999998	0.66866	9.4363e-11	3.005e-09	-0.46237	-4.0286	0.11127999999999999	0.79918	5.610000000000001e-05	0.00061536
CSTF3	7	-0.8025800000000001	-11.252	0.02534	0.58386	2.2590999999999997e-29	4.1864e-27	-0.8535	-11.914000000000001	0.016017	0.5213399999999999	9.964200000000001e-33	3.2748e-30	-0.77708	-11.544	0.017487	0.60525	7.931999999999999e-31	3.7305e-28	-0.8691700000000001	-11.196	0.010242	0.51782	4.2771999999999997e-29	2.2577e-26
PLK1	4	-0.71983	-7.057	0.03929	0.64361	1.7008e-12	5.1796e-11	-0.7794300000000001	-7.5872	0.023354	0.57539	3.269e-14	1.4729e-12	-0.451	-4.935	0.1225	0.8101	8.016500000000001e-07	1.1445999999999998e-05	-0.648	-5.9535	0.03549	0.66352	2.6239e-09	9.215e-08
KLF15	6	0.3068	4.7195	0.014387	0.5002	2.3641999999999997e-06	2.3654e-05	0.18382	2.8023	0.05461900000000001	0.67202	0.0050746	0.020125999999999998	0.25122	3.9519	0.039336	0.69408	7.7533e-05	0.00061931	0.25113	3.7019	0.030438	0.6467	0.00021399	0.0018730999999999997
GTF2B	5	-0.83239	-7.6739999999999995	0.021758	0.55929	1.6669e-14	6.6142e-13	-0.6020800000000001	-5.8738	0.062472	0.6949	4.2599e-09	8.6083e-08	-0.75317	-7.5656	0.019886	0.61637	3.8605e-14	2.2303e-12	-0.73153	-6.3389999999999995	0.021965000000000002	0.59577	2.3128e-10	1.0022e-08
ICAM2	4	0.34654	3.5046	0.009173899999999999	0.44513	0.00045730000000000006	0.0024924	-0.071399	-0.6843100000000001	0.75481	0.9838399999999999	0.49378	0.65708	0.0035654000000000003	0.03599	0.52965	0.97045	0.97129	0.98326	-0.11627	-1.034	0.9290799999999999	0.99729	0.30113	0.49871000000000004
ARPC4	5	-0.63568	-8.6508	0.061278	0.70641	5.114e-18	3.0931000000000004e-16	-0.51803	-7.1467	0.10142999999999999	0.7830199999999999	8.8859e-13	3.3738e-11	-0.46916	-6.657	0.10937000000000001	0.80295	2.7944e-11	9.600700000000002e-10	-0.5319	-7.0520000000000005	0.07253	0.74484	1.7643e-12	1.1597e-10
ZNF35	6	0.26452	3.8099	0.024502	0.58281	0.000139	0.00088986	-0.072645	-1.0079	0.76034	0.98401	0.31353000000000003	0.48673999999999995	-0.075296	-1.0831	0.8888	0.99544	0.27878000000000003	0.45038999999999996	0.11627	1.5699	0.15684	0.8340799999999999	0.11645	0.26588
COX6B1	4	-0.76081	-8.0836	0.031402	0.6123	6.2885e-16	2.8675e-14	-0.38179	-4.2681	0.23249	0.8857299999999999	1.971e-05	0.00017288	-0.2247	-2.6175	0.51154	0.9685600000000001	0.0088586	0.033285	-0.21063	-2.2993	0.54898	0.95781	0.021488	0.076699
COLEC12	4	-0.701	-7.1021	0.043309	0.65972	1.2286e-12	3.849e-11	-0.7982199999999999	-8.0065	0.021172	0.56097	1.1800999999999998e-15	6.464e-14	-0.46375	-5.0202	0.11310999999999999	0.80704	5.1624e-07	7.725399999999999e-06	-0.41926	-4.207	0.14614000000000002	0.82844	2.5875999999999998e-05	0.00031719
UFD1L	4	-1.2546	-13.519	0.0034445	0.38364000000000004	1.2025e-41	5.1087e-39	-1.0033	-11.311	0.007509	0.41491000000000006	1.1539999999999999e-29	2.8715999999999996e-27	-0.8969	-10.669	0.009105	0.52308	1.4238999999999998e-26	4.1339e-24	-0.8627299999999999	-9.3655	0.010609	0.51782	7.5667e-21	1.6475999999999998e-18
DARS	6	-0.93904	-10.515999999999998	0.012813999999999999	0.48	7.2742e-26	9.6725e-24	-0.9141	-10.335999999999999	0.01178	0.46548999999999996	4.864699999999999e-25	7.7034e-23	-0.59465	-7.4059	0.050244	0.71611	1.3023e-13	6.9371e-12	-0.70681	-7.7408	0.025432	0.62416	9.8777e-15	9.9457e-13
GTF3C1	4	-0.86156	-7.0481	0.018553999999999998	0.5381	1.8144e-12	5.4396999999999994e-11	-0.83552	-6.9231	0.017464	0.53196	4.4197e-12	1.5007e-10	-0.8738	-7.6772	0.010322	0.54337	1.6262e-14	9.835600000000001e-13	-0.93211	-6.8212	0.007428699999999999	0.50039	9.0278e-12	5.0096e-10
S100A6	5	0.2245	2.6213	0.039451	0.64465	0.008760299999999999	0.029985	0.2532	2.9731	0.022803	0.56987	0.0029484999999999997	0.01284	0.23601	2.8429	0.046811	0.70415	0.0044705	0.019175	0.2495	2.8082	0.031047	0.6467	0.0049816	0.024388
BCAR3	8	-0.6299899999999999	-9.232000000000001	0.063195	0.71205	2.6564e-20	2.1128999999999998e-18	-0.67924	-9.924	0.039370999999999996	0.62849	3.2732e-23	4.4198e-21	-0.51234	-7.9149	0.083817	0.78255	2.4741e-15	1.6835e-13	-0.63072	-8.7735	0.039669	0.68213	1.732e-18	2.9872e-16
AP5S1	4	0.21081999999999998	2.465	0.046616000000000005	0.66585	0.0137	0.043651	0.047573000000000004	0.5485	0.27715	0.9032399999999999	0.58335	0.72813	-0.075974	-0.8918200000000001	0.89185	0.99544	0.37249	0.5473100000000001	0.025687	0.28155	0.41231	0.93476	0.7782899999999999	0.88107
POLR3A	4	-0.98736	-8.8465	0.010184	0.45821000000000006	9.033299999999998e-19	6.028799999999999e-17	-0.8236100000000001	-7.6314	0.0186	0.54362	2.3213e-14	1.0669e-12	-0.63861	-6.3418	0.038659	0.69408	2.2711000000000003e-10	6.671100000000001e-09	-0.94625	-7.9636	0.0069464	0.49237	1.6717e-15	1.8787e-13
GTF2A1	4	-0.64886	-7.1384	0.057133	0.69644	9.4396e-13	3.0005e-11	-0.65128	-7.188	0.046237	0.64781	6.5746e-13	2.5170000000000002e-11	-0.36922	-4.3260000000000005	0.20713	0.87213	1.5185e-05	0.00015184	-0.37609000000000004	-4.0955	0.19247	0.8650399999999999	4.2117e-05	0.00048361
MPHOSPH10	5	-0.72282	-5.7562	0.03851	0.6390100000000001	8.6051e-09	1.4454e-07	-0.50242	-4.2771	0.11160999999999999	0.7941199999999999	1.8932e-05	0.00016738	-0.24859	-2.3925	0.444	0.95699	0.016735	0.054719000000000004	-0.26118	-2.1459	0.40297	0.9312	0.03188	0.10242000000000001
HINT1	4	0.22100999999999998	2.2386	0.041093	0.65589	0.02518	0.071342	-0.17205	-1.6542	0.7911600000000001	0.9864	0.098078	0.20975	-0.1384	-1.3961	0.8281200000000001	0.9908799999999999	0.16269	0.3081	-0.16032000000000002	-1.4457	0.73663	0.98482	0.14825	0.31294
SF1	4	-1.0773	-14.222999999999999	0.0068316	0.42049	6.5538e-46	3.4594e-43	-1.0016	-13.312000000000001	0.007555	0.41491000000000006	1.9806e-40	1.15e-37	-0.95916	-12.984000000000002	0.006659399999999999	0.49871000000000004	1.5028999999999998e-38	1.309e-35	-1.0104	-13.057	0.005155300000000001	0.48318	5.7883999999999987e-39	6.3017e-36
PRRT2	4	0.27251	3.1794	0.021976	0.5621	0.0014759	0.0067673	0.10826	1.2548	0.14095	0.8350700000000001	0.20955	0.36829	0.25183	2.9734	0.039061	0.69408	0.0029453	0.01354	0.11805	1.3389	0.15342999999999998	0.8323	0.18061	0.35729
RBX1	4	-1.2174	-11.504000000000001	0.0038693000000000004	0.38364000000000004	1.2548e-30	2.5714e-28	-1.305	-12.16	0.0021355999999999997	0.34094	5.0738999999999994e-34	1.8805e-31	-0.9410700000000001	-10.008	0.0074172	0.5	1.4109999999999998e-23	2.9611999999999997e-21	-0.9807100000000001	-9.0253	0.005936	0.48318	1.7924e-19	3.6304e-17
VARS	4	-0.7387	-6.2711	0.03549	0.63146	3.5843e-10	7.4773e-09	-0.7069	-6.0894	0.034147000000000004	0.61233	1.1335e-09	2.5576e-08	-0.4311	-4.1958	0.13956	0.8274100000000001	2.7186e-05	0.0002531	-0.4336	-3.6403	0.13323	0.81963	0.00027235	0.0022952
HINFP	4	-0.64984	-7.5129	0.056823	0.69644	5.7847e-14	2.1531e-12	-0.6743	-7.7985	0.040565	0.63171	6.262300000000001e-15	3.0989e-13	-0.4023	-4.9636	0.16829000000000002	0.85488	6.9187e-07	1.0051e-05	-0.34899	-4.0077	0.22981	0.87889	6.1304e-05	0.00066533
CEACAM18	4	0.25709	2.8581	0.02712	0.59297	0.0042623	0.016521	0.23353000000000002	2.5967	0.028647000000000002	0.59953	0.0094137	0.033513	0.24896999999999997	2.8115	0.040462	0.69408	0.0049315	0.020738999999999997	0.2757	3.0003	0.022585	0.59577	0.0026973	0.014898
FRMD4A	4	0.27038	3.3603	0.022619	0.56476	0.0007785	0.0039193000000000006	0.18016	2.226	0.057133	0.68098	0.026014999999999996	0.075626	0.31361	4.0126	0.020449000000000002	0.61859	6.0048999999999994e-05	0.00049881	0.33539	4.0503	0.011757	0.51782	5.1155e-05	0.00056974
GLIS2	4	-0.77266	-8.8488	0.029519	0.60487	8.8445e-19	5.9254e-17	-0.63752	-7.4288	0.050106	0.65417	1.0955999999999999e-13	4.5441e-12	-0.41200000000000003	-5.0249	0.15779	0.8406799999999999	5.0371e-07	7.5705e-06	-0.59015	-6.6286	0.049739	0.70926	3.3878999999999995e-11	1.6765e-09
KIF2C	6	-0.62298	-8.1301	0.06564099999999999	0.71205	4.2897999999999997e-16	2.0417e-14	-0.72026	-9.2882	0.031885000000000004	0.61007	1.5694e-20	1.5188e-18	-0.49873999999999996	-6.9435	0.09109600000000001	0.8002	3.8251e-12	1.5212e-10	-0.61752	-7.5601	0.042517	0.6928	4.029e-14	3.5806e-12
PEA15	5	-0.72148	-8.6483	0.038785	0.6399600000000001	5.229e-18	3.1517e-16	-0.49605	-6.2163	0.11575	0.80325	5.0917e-10	1.2150000000000001e-08	-0.21964	-2.972	0.52705	0.97045	0.002959	0.013590000000000001	-0.22216999999999998	-2.7367	0.5119100000000001	0.95176	0.0062056	0.029231
TBX20	4	0.21579	2.5159	0.043941	0.66057	0.011873	0.038682999999999995	0.07599	0.87465	0.20494	0.87403	0.38176	0.55537	-0.24164000000000002	-2.7755	0.46218000000000004	0.95925	0.0055115	0.022664	-0.20264000000000001	-2.1156	0.57665	0.96265	0.03438	0.10833
PLEKHA7	4	0.5066	4.3459	0.0022619	0.36822	1.387e-05	0.00011672	0.34429	2.8803	0.0081405	0.42017	0.0039727	0.016359000000000002	0.22285	1.9264	0.053872	0.72712	0.05405700000000001	0.13572	-0.047955000000000005	-0.3332	0.74374	0.98561	0.7389899999999999	0.8583299999999999
ABCC11	4	0.30796	3.6732	0.014237	0.5002	0.00023953	0.0014245	0.27925	3.3305	0.016947	0.52893	0.00086695	0.004579	0.33084	4.0113	0.017027	0.60285	6.039e-05	0.00050116	0.1699	1.9619	0.08240399999999999	0.7601100000000001	0.049769	0.14348
MAGEA11	4	0.31148000000000003	3.3923	0.013616999999999999	0.48907	0.00069301	0.0035318000000000003	0.23108	2.498	0.029633999999999997	0.60023	0.012487999999999999	0.042125	0.1186	1.3147	0.1752	0.8572799999999999	0.18861	0.34265999999999996	0.11152999999999999	1.109	0.16585	0.83745	0.26741	0.46312
